"","x","y","aridity","bio1","bio2","bio12","bio15","bio20","bedrockDepth","bulkDensity1_4","clay1_4","ph1_4","silt1_4"
"1",10325142.6490294,-4164952.15192635,-562,152,97,1112,69,123,232,1138,156,542,108
"2",10345142.6490294,-4104952.15192635,-682,148,106,877,74,118,294,1176,171,574,120
"3",10425142.6490294,-4224952.15192635,-518,153,93,908,58,179,246,1231,223,606,121
"4",10295142.6490294,-4154952.15192635,-602,159,100,1115,73,110,269,1146,154,563,108
"5",10955142.6490294,-4084952.15192635,-833,165,124,574,46,241,232,1392,193,667,101
"6",10435142.6490294,-4234952.15192635,-437,150,84,915,56,194,200,1203,195,588,133
"7",10935142.6490294,-4094952.15192635,-757,164,115,632,51,222,218,1325,178,627,109
"8",10335142.6490294,-4224952.15192635,-459,153,87,1165,64,157,227,1074,171,530,132
"9",10275142.6490294,-4094952.15192635,-692,167,97,1093,84,98,315,1257,180,601,117
"10",10455142.6490294,-4224952.15192635,-471,153,88,835,52,216,219,1255,186,584,101
"11",10335142.6490294,-4194952.15192635,-517,150,95,1128,67,135,220,1087,147,509,104
"12",10275142.6490294,-4144952.15192635,-639,164,96,1025,77,103,310,1218,203,604,107
"13",10285142.6490294,-4134952.15192635,-654,162,99,1002,77,103,341,1166,170,580,95
"14",10325142.6490294,-4114952.15192635,-707,157,109,935,75,110,298,1145,154,564,112
"15",10715142.6490294,-4094952.15192635,-767,163,107,479,36,320,201,1303,184,651,112
"16",10305142.6490294,-4124952.15192635,-662,159,102,956,76,106,317,1134,145,562,97
"17",10395142.6490294,-4214952.15192635,-509,151,96,991,56,183,216,1153,161,548,111
"18",10265142.6490294,-4134952.15192635,-669,168,96,1044,79,98,322,1204,155,586,91
"19",10405142.6490294,-4234952.15192635,-441,148,87,1023,58,179,235,1171,212,606,135
"20",10965142.6490294,-4074952.15192635,-891,165,132,535,41,260,207,1417,198,683,99
